Hs,Hmax,Tz,Tp,Peak Direction,SST
1.49,2.48,7.339,12.174,78.08,25.35
1.515,2.56,7.106,13.074,79.08,25.4
1.533,2.42,7.274,13.406,79.08,25.35
1.501,2.59,6.888,12.242,81.08,25.35
1.499,2.72,7.255,12.92,84.08,25.35
1.473,2.72,6.862,11.434,81.08,25.3
1.433,2.79,6.753,12.355,82.08,25.3
1.408,2.5,6.813,12.109,84.08,25.25
1.49,2.25,6.83,13.406,82.08,25.25
1.397,2.19,6.715,12.593,81.08,25.2
1.452,2.25,6.687,12.057,84.08,25.2
1.287,2.45,6.523,11.53,85.08,25.2
1.439,2.28,6.834,12.81,88.08,25.15
1.434,2.02,7.5,12.914,82.08,25.15
1.333,2.68,6.782,12.26,81.08,25.15
1.393,2.51,7.551,10.357,85.08,25.2
1.369,2.28,7.343,12.009,85.08,25.25
1.309,2.25,7.469,12.897,84.08,25.3
1.198,1.9,6.715,11.813,82.08,25.4
1.247,2.54,7.25,12.507,79.08,25.45
1.143,1.85,6.947,12.421,84.08,25.45
1.14,2.3,6.142,13.005,84.08,25.55
1.201,1.92,6.866,12.935,79.08,25.6
1.192,1.7,6.284,12.168,79.08,25.65
1.241,2.31,6.081,12.829,82.08,25.65
1.387,2.47,6.706,12.789,81.08,25.65
1.193,1.98,5.888,12.432,79.08,25.65
1.168,2.24,5.925,12.096,91.08,25.7
1.17,2.01,5.852,12.277,88.08,25.8
1.121,2.2,5.489,12.352,91.08,25.75
1.174,1.9,5.861,12.808,85.08,25.65
1.226,2.13,5.881,12.313,84.08,25.7
1.217,1.98,6.185,12.167,88.08,25.65
1.241,1.98,6.242,12.86,88.08,25.6
1.252,2.09,6.446,12.282,92.08,25.7
1.151,1.73,6.225,12.819,86.08,25.6
1.241,1.92,6.721,11.481,85.08,25.55
1.247,2.86,6.244,12.912,85.08,25.6
1.28,2.05,6.575,12.799,84.08,25.6
1.133,1.97,6.213,12.127,81.08,25.55
1.208,1.92,6.662,11.508,84.08,25.55
1.288,1.97,6.912,11.586,85.08,25.5
1.322,2.13,6.761,12.15,88.08,25.45
1.276,1.95,6.95,11.458,84.08,25.45
1.217,1.98,6.998,11.458,84.08,25.45
1.247,2.71,7.094,12.726,79.08,25.4
1.369,2.82,6.973,12.55,78.08,25.4
1.259,2.13,7.119,11.583,82.08,25.35
1.319,2.2,7.207,12.202,81.08,25.35
1.188,2.13,7.227,11.452,84.08,25.3
1.241,1.85,7.189,10.863,84.08,25.25
1.284,1.95,7.121,11.459,88.08,25.15
1.185,2.47,7.147,12.076,78.08,25.15
1.346,2.21,7.026,12.124,84.08,25.2
1.209,1.9,6.701,12.778,84.08,25.2
1.174,1.78,6.734,12.141,82.08,25.2
1.129,1.8,6.862,12.882,81.08,25.15
1.332,2.15,7.21,12.083,81.08,25.15
1.153,1.89,6.703,11.513,82.08,25.05
1.208,1.87,6.932,12.687,79.08,25.05
1.125,1.71,6.95,12.65,82.08,25.05
1.147,2.2,6.862,12.3,75.08,25.05
1.198,1.94,7.283,12.339,81.08,25.05
